 [0.4233, 0.0568, 0.1414, 0.1514, 0.0752, 0.1519] 
 [0.1265, 0.5527, 0.097, 0.0683, 0.0478, 0.1077] 
 [0.0592, 0.1247, 0.5626, 0.1353, 0.0256, 0.0926] 
 [0.0926, 0.0256, 0.1353, 0.5626, 0.1247, 0.0592] 
 [0.1077, 0.0478, 0.0683, 0.097, 0.5527, 0.1265] 
 [0.1519, 0.0752, 0.1514, 0.1414, 0.0568, 0.4233] 

 [0.3939, 0.2114, 0.0774, 0.0842, 0.1937, 0.0394] 
 [0.0795, 0.5195, 0.0812, 0.1902, 0.0716, 0.058] 
 [0.1315, 0.1047, 0.4263, 0.1358, 0.1266, 0.0751] 
 [0.0751, 0.1266, 0.1358, 0.4263, 0.1047, 0.1315] 
 [0.058, 0.0716, 0.1902, 0.0812, 0.5195, 0.0795] 
 [0.0394, 0.1937, 0.0842, 0.0774, 0.2114, 0.3939] 

 [0.5621, 0.0844, 0.017, 0.0074, 0.235, 0.0941] 
 [0.0444, 0.6941, 0.0264, 0.016, 0.0949, 0.1242] 
 [0.1176, 0.1981, 0.4894, 0.0176, 0.0503, 0.127] 
 [0.127, 0.0503, 0.0176, 0.4894, 0.1981, 0.1176] 
 [0.1242, 0.0949, 0.016, 0.0264, 0.6941, 0.0444] 
 [0.0941, 0.235, 0.0074, 0.017, 0.0844, 0.5621] 

