 [0.3237, 0.2257, 0.1474, 0.106, 0.15, 0.0472] 
 [0.1358, 0.6758, 0.0544, 0.0405, 0.046, 0.0475] 
 [0.0753, 0.344, 0.3054, 0.1089, 0.0787, 0.0877] 
 [0.0877, 0.0787, 0.1089, 0.3054, 0.344, 0.0753] 
 [0.0475, 0.046, 0.0405, 0.0544, 0.6758, 0.1358] 
 [0.0472, 0.15, 0.106, 0.1474, 0.2257, 0.3237] 

 [0.4272, 0.1733, 0.0689, 0.1608, 0.0785, 0.0913] 
 [0.0366, 0.4983, 0.2084, 0.0418, 0.133, 0.0819] 
 [0.0347, 0.1808, 0.396, 0.0736, 0.2069, 0.108] 
 [0.108, 0.2069, 0.0736, 0.396, 0.1808, 0.0347] 
 [0.0819, 0.133, 0.0418, 0.2084, 0.4983, 0.0366] 
 [0.0913, 0.0785, 0.1608, 0.0689, 0.1733, 0.4272] 

 [0.6568, 0.1888, 0.0523, 0.0145, 0.0521, 0.0355] 
 [0.2003, 0.6433, 0.0331, 0.0251, 0.0351, 0.0631] 
 [0.1133, 0.1467, 0.3883, 0.0253, 0.0513, 0.2751] 
 [0.2751, 0.0513, 0.0253, 0.3883, 0.1467, 0.1133] 
 [0.0631, 0.0351, 0.0251, 0.0331, 0.6433, 0.2003] 
 [0.0355, 0.0521, 0.0145, 0.0523, 0.1888, 0.6568] 

 [0.5478, 0.0876, 0.1653, 0.053, 0.0726, 0.0737] 
 [0.0628, 0.4279, 0.1174, 0.1434, 0.1025, 0.146] 
 [0.0435, 0.1648, 0.4585, 0.1832, 0.0872, 0.0628] 
 [0.0628, 0.0872, 0.1832, 0.4585, 0.1648, 0.0435] 
 [0.146, 0.1025, 0.1434, 0.1174, 0.4279, 0.0628] 
 [0.0737, 0.0726, 0.053, 0.1653, 0.0876, 0.5478] 

