 [0.5945, 0.0759, 0.0369, 0.1287, 0.0688, 0.0952] 
 [0.1509, 0.3554, 0.1016, 0.1494, 0.1317, 0.111] 
 [0.1769, 0.0652, 0.2402, 0.06, 0.1832, 0.2745] 
 [0.2745, 0.1832, 0.06, 0.2402, 0.0652, 0.1769] 
 [0.111, 0.1317, 0.1494, 0.1016, 0.3554, 0.1509] 
 [0.0952, 0.0688, 0.1287, 0.0369, 0.0759, 0.5945] 

 [0.5189, 0.0619, 0.0326, 0.0186, 0.2081, 0.1599] 
 [0.0874, 0.5413, 0.0533, 0.0388, 0.0328, 0.2464] 
 [0.0765, 0.1385, 0.4488, 0.125, 0.038, 0.1732] 
 [0.1732, 0.038, 0.125, 0.4488, 0.1385, 0.0765] 
 [0.2464, 0.0328, 0.0388, 0.0533, 0.5413, 0.0874] 
 [0.1599, 0.2081, 0.0186, 0.0326, 0.0619, 0.5189] 

 [0.2491, 0.3812, 0.0524, 0.0263, 0.1731, 0.1179] 
 [0.0321, 0.6741, 0.041, 0.0123, 0.1781, 0.0624] 
 [0.1289, 0.3578, 0.2545, 0.0234, 0.1834, 0.052] 
 [0.052, 0.1834, 0.0234, 0.2545, 0.3578, 0.1289] 
 [0.0624, 0.1781, 0.0123, 0.041, 0.6741, 0.0321] 
 [0.1179, 0.1731, 0.0263, 0.0524, 0.3812, 0.2491] 

 [0.7219, 0.0291, 0.0947, 0.0468, 0.0894, 0.0181] 
 [0.0281, 0.6042, 0.1317, 0.0832, 0.1283, 0.0245] 
 [0.1588, 0.0976, 0.493, 0.0899, 0.0906, 0.0701] 
 [0.0701, 0.0906, 0.0899, 0.493, 0.0976, 0.1588] 
 [0.0245, 0.1283, 0.0832, 0.1317, 0.6042, 0.0281] 
 [0.0181, 0.0894, 0.0468, 0.0947, 0.0291, 0.7219] 

 [0.2302, 0.1897, 0.1817, 0.1644, 0.0794, 0.1546] 
 [0.0637, 0.6541, 0.0723, 0.0623, 0.0573, 0.0903] 
 [0.1397, 0.0694, 0.5662, 0.119, 0.0347, 0.071] 
 [0.071, 0.0347, 0.119, 0.5662, 0.0694, 0.1397] 
 [0.0903, 0.0573, 0.0623, 0.0723, 0.6541, 0.0637] 
 [0.1546, 0.0794, 0.1644, 0.1817, 0.1897, 0.2302] 

